RepoName;TravisFullPath;TravisFileGitURL
PaddlePaddle/Anakin;D:/PhD Work/repos/applied/PaddlePaddle/Anakin/.travis.yml;https://github.com/PaddlePaddle/Anakin/blob/master/.travis.yml
kiudee/cs-ranking;D:/PhD Work/repos/applied/kiudee/cs-ranking/.travis.yml;https://github.com/kiudee/cs-ranking/blob/master/.travis.yml
asafschers/goscore;D:/PhD Work/repos/applied/asafschers/goscore/.travis.yml;https://github.com/asafschers/goscore/blob/master/.travis.yml
onnx/onnx-r;D:/PhD Work/repos/applied/onnx/onnx-r/.travis.yml;https://github.com/onnx/onnx-r/blob/master/.travis.yml
orktes/go-torch;D:/PhD Work/repos/applied/orktes/go-torch/.travis.yml;https://github.com/orktes/go-torch/blob/master/.travis.yml
IlyaGusev/summarus;D:/PhD Work/repos/applied/IlyaGusev/summarus/.travis.yml;https://github.com/IlyaGusev/summarus/blob/master/.travis.yml
msuzen/bristol;D:/PhD Work/repos/applied/msuzen/bristol/.travis.yml;https://github.com/msuzen/bristol/blob/master/.travis.yml
scikit-learn-contrib/lightning;D:/PhD Work/repos/applied/scikit-learn-contrib/lightning/.travis.yml;https://github.com/scikit-learn-contrib/lightning/blob/master/.travis.yml
pyro-ppl/pyro;D:/PhD Work/repos/applied/pyro-ppl/pyro/.travis.yml;https://github.com/pyro-ppl/pyro/blob/master/.travis.yml
jkoutsikakis/pytorch-wrapper;D:/PhD Work/repos/applied/jkoutsikakis/pytorch-wrapper/.travis.yml;https://github.com/jkoutsikakis/pytorch-wrapper/blob/master/.travis.yml
nextcloud/suspicious_login;D:/PhD Work/repos/applied/nextcloud/suspicious_login/.travis.yml;https://github.com/nextcloud/suspicious_login/blob/master/.travis.yml
docker-science/cookiecutter-docker-science;D:/PhD Work/repos/applied/docker-science/cookiecutter-docker-science/.travis.yml;https://github.com/docker-science/cookiecutter-docker-science/blob/master/.travis.yml
rstudio/cloudml;D:/PhD Work/repos/applied/rstudio/cloudml/.travis.yml;https://github.com/rstudio/cloudml/blob/master/.travis.yml
georgymh/decentralized-ml;D:/PhD Work/repos/applied/georgymh/decentralized-ml/.travis.yml;https://github.com/georgymh/decentralized-ml/blob/master/.travis.yml
sbl-sdsc/mmtf-pyspark;D:/PhD Work/repos/applied/sbl-sdsc/mmtf-pyspark/.travis.yml;https://github.com/sbl-sdsc/mmtf-pyspark/blob/master/.travis.yml
thuijskens/scikit-hyperband;D:/PhD Work/repos/applied/thuijskens/scikit-hyperband/.travis.yml;https://github.com/thuijskens/scikit-hyperband/blob/master/.travis.yml
qinwf/jiebaR;D:/PhD Work/repos/applied/qinwf/jiebaR/.travis.yml;https://github.com/qinwf/jiebaR/blob/master/.travis.yml
hoxo-m/densratio;D:/PhD Work/repos/applied/hoxo-m/densratio/.travis.yml;https://github.com/hoxo-m/densratio/blob/master/.travis.yml
priyankshah7/hypers;D:/PhD Work/repos/applied/priyankshah7/hypers/.travis.yml;https://github.com/priyankshah7/hypers/blob/master/.travis.yml
jungtaekkim/bayeso;D:/PhD Work/repos/applied/jungtaekkim/bayeso/.travis.yml;https://github.com/jungtaekkim/bayeso/blob/master/.travis.yml
assap-org/assap;D:/PhD Work/repos/applied/assap-org/assap/.travis.yml;https://github.com/assap-org/assap/blob/master/.travis.yml
sherpa-ai/sherpa;D:/PhD Work/repos/applied/sherpa-ai/sherpa/.travis.yml;https://github.com/sherpa-ai/sherpa/blob/master/.travis.yml
justinshenk/fer;D:/PhD Work/repos/applied/justinshenk/fer/.travis.yml;https://github.com/justinshenk/fer/blob/master/.travis.yml
go-ego/gse;D:/PhD Work/repos/applied/go-ego/gse/.travis.yml;https://github.com/go-ego/gse/blob/master/.travis.yml
alan-turing-institute/MLJModels.jl;D:/PhD Work/repos/applied/alan-turing-institute/MLJModels.jl/.travis.yml;https://github.com/alan-turing-institute/MLJModels.jl/blob/master/.travis.yml
