ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
bamos/block,Tool,2018-02-14,2019-02-15,55,737,4,2,1,0,0
GRAAL-Research/poutyne,Tool,2019-10-29,2020-10-29,43,40,43,4,3,0,33
lai-bluejay/diego,Tool,2020-02-04,2021-02-04,78,682,17,0,15,0,0
funkey/gunpowder,Tool,2020-05-02,2021-05-03,911,1397,233,71,13,0,124
1adrianb/face-alignment,Tool,2017-10-05,2018-10-06,51,353,50,30,2,0,17
bmcfee/muda,Tool,2020-05-03,2021-05-04,134,1718,13,0,12,0,0
proycon/foliapy,Tool,2020-03-25,2021-03-26,404,930,79,27,1,3,47
scikit-learn-contrib/imbalanced-learn,Tool,2020-06-15,2021-06-16,50,49,50,50,0,0,0
scikit-learn-contrib/polylearn,Tool,2019-08-08,2020-08-08,72,1480,3,0,0,0,2
nschaetti/EchoTorch,Tool,2020-06-13,2021-06-14,291,1151,167,59,79,2,3
RaRe-Technologies/gensim,Tool,2020-03-27,2021-03-28,273,178,0,0,0,0,0
OlafenwaMoses/ImageAI,Tool,2020-04-11,2021-04-12,149,942,52,15,2,2,8
flennerhag/mlens,Tool,2019-02-25,2020-02-26,640,1139,4,0,0,0,3
proycon/pynlpl,Tool,2018-03-13,2019-03-14,195,952,21,7,1,0,10
onnx/onnx-caffe2,Tool,2017-03-02,2018-03-03,675,176,675,160,59,9,423
oracle/Skater,Tool,2017-12-14,2018-12-15,489,430,459,102,63,43,248
undertheseanlp/underthesea,Tool,2019-05-01,2020-05-01,753,1154,141,46,2,0,92
crcollins/molml,Tool,2018-07-31,2019-08-01,187,1091,52,5,5,0,41
autonomio/kerasplotlib,Tool,2019-11-20,2020-11-20,34,843,28,1,8,0,8
thu-ml/zhusuan,Tool,2019-01-09,2020-01-10,428,868,94,6,14,0,73
alfredfrancis/ai-chatbot-framework,Tool,2019-12-31,2020-12-31,264,1163,25,0,25,0,0
BehaviorTree/BehaviorTree.CPP,Tool,2020-04-01,2021-04-02,656,897,145,67,6,1,61
DeNA/ChainerPruner,Tool,2018-10-07,2019-10-08,58,117,58,12,8,0,38
chakki-works/sumeval,Tool,2020-02-20,2021-02-20,20,626,0,0,0,0,0
dssg/triage,Tool,2017-10-16,2018-10-17,359,203,349,97,13,1,200
jmaggio14/imagepypelines,Tool,2017-09-25,2018-09-26,3,0,0,0,0,0,0
thehyve/tmtk,Tool,2019-08-01,2020-08-01,664,1179,50,18,3,0,26
EducationalTestingService/skll,Tool,2019-10-29,2020-10-29,857,695,173,32,0,2,126
dkpro/dkpro-cassis,Tool,2019-11-23,2020-11-23,364,788,125,4,4,0,111
