file_name,FailureClassedAsError,ScriptError,BuildDepError,TravisError,TimeExceeded,NotPythonLang,LogNotFound,NoFailDetected
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440500819.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440500820.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440640863.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440740406.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440740407.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440740408.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440749181.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440749182.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440768665.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440768666.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508538732.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508538733.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508538734.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508538735.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549723.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549724.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549725.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549726.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549913.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549914.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549915.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\508549916.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
